ISO code,Data Awal,Country and areas,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KWT,"Kuwait (KWT): Longitude (lon) = 47,4818; Latitude (lat) = 29,3117",Kuwait,Stunting,Proportion,Point Estimate,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7
UZB,"Uzbekistan (UZB): Longitude (lon) = 63,5855; Latitude (lat) = 41,3775",Uzbekistan,Stunting,Proportion,Point Estimate,29,27,25,24,23,21,20,19,18,17,15,14,13,12,11,11,10,9,9,8,8,7,7
TKM,"Turkmenistan (TKM): Longitude (lon) = 59,3842; Latitude (lat) = 39,1559",Turkmenistan,Stunting,Proportion,Point Estimate,27,26,25,24,23,21,20,18,17,16,14,13,13,12,11,10,10,9,8,8,7,7,7
JOR,"Jordan (JOR): Longitude (lon) = 36,3280; Latitude (lat) = 31,9522",Jordan,Stunting,Proportion,Point Estimate,11,11,10,10,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7
JAM,"Jamaica (JAM): Longitude (lon) = -77,3148; Latitude (lat) = 18,1096",Jamaica,Stunting,Proportion,Point Estimate,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
MNG,"Mongolia (MNG): Longitude (lon) = 103,8467; Latitude (lat) = 46,8625",Mongolia,Stunting,Proportion,Point Estimate,29,28,27,26,25,24,22,21,19,17,15,13,12,11,10,10,9,8,8,7,7,7,6
URY,"Uruguay (URY): Longitude (lon) = -56,0181; Latitude (lat) = -32,7997",Uruguay,Stunting,Proportion,Point Estimate,16,16,15,15,14,13,13,12,11,11,10,9,9,9,8,8,8,7,7,7,6,6,6
BRB,"Barbados (BRB): Longitude (lon) = -59,5598; Latitude (lat) = 13,1939",Barbados,Stunting,Proportion,Point Estimate,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6
BGR,"Bulgaria (BGR): Longitude (lon) = 25,4858; Latitude (lat) = 42,7339",Bulgaria,Stunting,Proportion,Point Estimate,8,8,8,9,9,9,9,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6
DOM,"Dominican Republic (DOM): Longitude (lon) = -70,1627; Latitude (lat) = 18,7357",Dominican Republic,Stunting,Proportion,Point Estimate,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6
TUR,"Türkiye (TUR): Longitude (lon) = 35,2433; Latitude (lat) = 38,9637",Türkiye,Stunting,Proportion,Point Estimate,17,17,17,16,16,16,15,14,13,12,11,10,9,9,8,8,7,7,7,6,6,6,6
TUV,"Tuvalu (TUV): Longitude (lon) = 179,1962; Latitude (lat) = -7,4782",Tuvalu,Stunting,Proportion,Point Estimate,12,12,12,11,11,11,10,10,10,9,9,8,8,8,7,7,7,6,6,6,6,5,5
BHR,"Bahrain (BHR): Longitude (lon) = 50,5577; Latitude (lat) = 26,0667",Bahrain,Stunting,Proportion,Point Estimate,11,10,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5
JPN,"Japan (JPN): Longitude (lon) = 138,2529; Latitude (lat) = 36,2048",Japan,Stunting,Proportion,Point Estimate,9,9,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5
KAZ,"Kazakhstan (KAZ): Longitude (lon) = 67,7099; Latitude (lat) = 48,0196",Kazakhstan,Stunting,Proportion,Point Estimate,16,16,16,16,16,16,16,15,15,14,13,12,11,10,9,9,8,7,7,6,6,5,5
GEO,"Georgia (GEO): Longitude (lon) = 43,3569; Latitude (lat) = 42,3154",Georgia,Stunting,Proportion,Point Estimate,16,16,16,15,15,15,14,13,12,11,10,10,9,8,8,7,7,6,6,6,5,5,5
IRN,"Iran (Islamic Republic of) (IRN): Longitude (lon) = 53,6880; Latitude (lat) = 32,4279",Iran (Islamic Republic of),Stunting,Proportion,Point Estimate,15,14,12,11,10,9,8,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5
CHN,"China (CHN): Longitude (lon) = 104,1954; Latitude (lat) = 35,8617",China,Stunting,Proportion,Point Estimate,20,18,17,16,14,13,12,11,11,10,9,8,8,7,7,7,6,6,6,5,5,5,5
SRB,"Serbia (SRB): Longitude (lon) = 21,0059; Latitude (lat) = 44,0165",Serbia,Stunting,Proportion,Point Estimate,9,9,9,9,9,8,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5
LTU,"Lithuania (LTU): Longitude (lon) = 23,8813; Latitude (lat) = 55,1694",Lithuania,Stunting,Proportion,Point Estimate,8,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
QAT,"Qatar (QAT): Longitude (lon) = 51,1839; Latitude (lat) = 25,276987",Qatar,Stunting,Proportion,Point Estimate,10,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4
MDA,"Republic of Moldova (MDA): Longitude (lon) = 28,3699; Latitude (lat) = 47,4116",Republic of Moldova,Stunting,Proportion,Point Estimate,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,6,6,5,5,5,4,4,4
MKD,"North Macedonia (MKD): Longitude (lon) = 21,7453; Latitude (lat) = 41,6086",North Macedonia,Stunting,Proportion,Point Estimate,8,9,9,9,9,9,9,8,8,7,7,6,6,5,5,5,5,4,4,4,4,4,4
BLR,"Belarus (BLR): Longitude (lon) = 27,9534; Latitude (lat) = 53,7098",Belarus,Stunting,Proportion,Point Estimate,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USA,"United States (USA): Longitude (lon) = -95,7129; Latitude (lat) = 37,0902",United States,Stunting,Proportion,Point Estimate,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
AUS,"Australia (AUS): Longitude (lon) = 133,6628; Latitude (lat) = -25,2744",Australia,Stunting,Proportion,Point Estimate,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PRY,"Paraguay (PRY): Longitude (lon) = -58,4173; Latitude (lat) = -23,4425",Paraguay,Stunting,Proportion,Point Estimate,18,18,18,18,17,17,16,15,14,13,12,11,9,8,8,7,6,6,5,4,4,4,3
PRT,"Portugal (PRT): Longitude (lon) = -8,2245; Latitude (lat) = 39,3999",Portugal,Stunting,Proportion,Point Estimate,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
SGP,"Singapore (SGP): Longitude (lon) = 103,8198; Latitude (lat) = 1,3521",Singapore,Stunting,Proportion,Point Estimate,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
TCA,"Turks and Caicos Islands (TCA): Longitude (lon) = -71,7979; Latitude (lat) = 21,6940",Turks and Caicos Islands,Stunting,Proportion,Point Estimate,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3
CZE,"Czechia (CZE): Longitude (lon) = 15,4729; Latitude (lat) = 49,8175",Czechia,Stunting,Proportion,Point Estimate,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
LCA,"Saint Lucia (LCA): Longitude (lon) = -60,9789; Latitude (lat) = 13,9094",Saint Lucia,Stunting,Proportion,Point Estimate,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3
BEL,"Belgium (BEL): Longitude (lon) = 4,4699; Latitude (lat) = 50,8503",Belgium,Stunting,Proportion,Point Estimate,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
POL,"Poland (POL): Longitude (lon) = 19,1451; Latitude (lat) = 51,9194",Poland,Stunting,Proportion,Point Estimate,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GRC,"Greece (GRC): Longitude (lon) = 21,8243; Latitude (lat) = 39,0742",Greece,Stunting,Proportion,Point Estimate,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DEU,"Germany (DEU): Longitude (lon) = 10,4515; Latitude (lat) = 51,1657",Germany,Stunting,Proportion,Point Estimate,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
LVA,"Latvia (LVA): Longitude (lon) = 24,6032; Latitude (lat) = 56,8796",Latvia,Stunting,Proportion,Point Estimate,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
TON,"Tonga (TON): Longitude (lon) = -175,1982; Latitude (lat) = -21,1780",Tonga,Stunting,Proportion,Point Estimate,16,16,15,15,14,13,12,11,11,10,9,8,7,6,6,5,4,4,3,3,2,2,2
KOR,"Republic of Korea (KOR): Longitude (lon) = 127,7669; Latitude (lat) = 35,9078",Republic of Korea,Stunting,Proportion,Point Estimate,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CHL,"Chile (CHL): Longitude (lon) = -71,5429; Latitude (lat) = -35,6751",Chile,Stunting,Proportion,Point Estimate,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NLD,"Netherlands (Kingdom of the) (NLD): Longitude (lon) = 5,2913; Latitude (lat) = 52,1326",Netherlands (Kingdom of the),Stunting,Proportion,Point Estimate,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
EST,"Estonia (EST): Longitude (lon) = 25,0136; Latitude (lat) = 58,5953",Estonia,Stunting,Proportion,Point Estimate,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,"Andorra (AND): Longitude (lon) = 1,5218; Latitude (lat) = 42,5063",Andorra,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,"Anguilla (AIA): Longitude (lon) = -63,0645; Latitude (lat) = 18,2206",Anguilla,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,"Antigua and Barbuda (ATG): Longitude (lon) = -61,7986; Latitude (lat) = 17,0608",Antigua and Barbuda,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,"Austria (AUT): Longitude (lon) = 14,5501; Latitude (lat) = 47,5162",Austria,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas (BHS): Longitude (lon) = -77,3963; Latitude (lat) = 25,0343",Bahamas,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VGB,"British Virgin Islands (VGB): Longitude (lon) = -64,4715; Latitude (lat) = 18,4207",British Virgin Islands,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,"Canada (CAN): Longitude (lon) = -106,3468; Latitude (lat) = 56,1304",Canada,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,"Cook Islands (COK): Longitude (lon) = -159,7777; Latitude (lat) = -21,2367",Cook Islands,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,"Croatia (HRV): Longitude (lon) = 15,2000; Latitude (lat) = 45,1000",Croatia,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,"Cyprus (CYP): Longitude (lon) = 33,4299; Latitude (lat) = 35,1264",Cyprus,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,"Denmark (DNK): Longitude (lon) = 9,5018; Latitude (lat) = 56,2639",Denmark,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,"Dominica (DMA): Longitude (lon) = -61,3710; Latitude (lat) = 15,4140",Dominica,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,"Finland (FIN): Longitude (lon) = 26,9094; Latitude (lat) = 64,1475",Finland,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,"France (FRA): Longitude (lon) = 2,2137; Latitude (lat) = 46,6034",France,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,"Grenada (GRD): Longitude (lon) = -61,6822; Latitude (lat) = 12,1165",Grenada,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,"Holy See (VAT): Longitude (lon) = 12,4534; Latitude (lat) = 41,9029",Holy See,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,"Hungary (HUN): Longitude (lon) = 19,5033; Latitude (lat) = 47,1625",Hungary,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,"Iceland (ISL): Longitude (lon) = -18,6875; Latitude (lat) = 64,9631",Iceland,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,"Ireland (IRL): Longitude (lon) = -7,6921; Latitude (lat) = 53,3498",Ireland,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,"Israel (ISR): Longitude (lon) = 34,8516; Latitude (lat) = 31,0461",Israel,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,"Italy (ITA): Longitude (lon) = 12,5674; Latitude (lat) = 41,8719",Italy,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,"Liechtenstein (LIE): Longitude (lon) = 9,5554; Latitude (lat) = 47,1660",Liechtenstein,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUX,"Luxembourg (LUX): Longitude (lon) = 6,1296; Latitude (lat) = 49,8153",Luxembourg,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,"Malta (MLT): Longitude (lon) = 14,3754; Latitude (lat) = 35,9375",Malta,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,"Micronesia (Federated States of) (FSM): Longitude (lon) = 158,2150; Latitude (lat) = 6,8870",Micronesia (Federated States of),Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,"Monaco (MCO): Longitude (lon) = 7,4167; Latitude (lat) = 43,7333",Monaco,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSR,"Montserrat (MSR): Longitude (lon) = -62,1874; Latitude (lat) = 16,7425",Montserrat,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,"New Zealand (NZL): Longitude (lon) = 174,8859; Latitude (lat) = -40,9006",New Zealand,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIU,"Niue (NIU): Longitude (lon) = -169,8699; Latitude (lat) = -19,0544",Niue,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,"Norway (NOR): Longitude (lon) = 8,4689; Latitude (lat) = 60,4720",Norway,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLW,"Palau (PLW): Longitude (lon) = 134,5825; Latitude (lat) = 7,5150",Palau,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,"Russian Federation (RUS): Longitude (lon) = 105,3188; Latitude (lat) = 61,5240",Russian Federation,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,"Saint Kitts and Nevis (KNA): Longitude (lon) = -62,7120; Latitude (lat) = 17,3578",Saint Kitts and Nevis,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,"Saint Vincent and the Grenadines (VCT): Longitude (lon) = -61,2451; Latitude (lat) = 13,1939",Saint Vincent and the Grenadines,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMR,"San Marino (SMR): Longitude (lon) = 12,4598; Latitude (lat) = 43,9424",San Marino,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVK,"Slovakia (SVK): Longitude (lon) = 19,6990; Latitude (lat) = 48,6690",Slovakia,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVN,"Slovenia (SVN): Longitude (lon) = 14,9955; Latitude (lat) = 46,1512",Slovenia,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,"Spain (ESP): Longitude (lon) = -3,7492; Latitude (lat) = 40,4637",Spain,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWE,"Sweden (SWE): Longitude (lon) = 18,6435; Latitude (lat) = 60,1282",Sweden,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,"Switzerland (CHE): Longitude (lon) = 8,2275; Latitude (lat) = 46,8182",Switzerland,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKL,"Tokelau (TKL): Longitude (lon) = -171,8559; Latitude (lat) = -8,9674",Tokelau,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,"United Arab Emirates (ARE): Longitude (lon) = 53,8478; Latitude (lat) = 24,0000",United Arab Emirates,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,"United Kingdom (UK): Longitude (lon) = -0.118092, Latitude (lat) = 51.509865",United Kingdom,Stunting,Proportion,Point Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
